27,"Fresho Sapota, 500 g","Fresho Sapota, 500 g",FRESH FRUITS,27,brown skinned sapotas smooth grainy textured musky scented deliciously sweet taste flesh generally contains 2 3 large inedible black seeds fresho sapotas freshly plucked farmers best quality delivered forget check delicious fruit recipe https www bigbasket com cookbook recipes 1232 summer fruit salad,1,https://www.bigbasket.com/media/uploads/p/s/10000183-4_1-fresho-sapota.jpg
28,"Fresho Snake Gourd, 1 kg","Fresho Snake Gourd, 1 kg",FRESH VEGETABLES,63,snake gourds true name long curved shape light green speckles waxy green skin firm flesh embedded seeds taste like cucumber slightly bitter taste fruits orange colour ripe pulpy red complete ripening forget check delicious recipe https www bigbasket com cookbook recipes 794 aviall,2,https://www.bigbasket.com/media/uploads/p/s/10000184-3_1-fresho-snake-gourd.jpg
29,"Fresho Snake Gourd, 500 g","Fresho Snake Gourd, 500 g",FRESH VEGETABLES,32,snake gourds true name long curved shape light green speckles waxy green skin firm flesh embedded seeds taste like cucumber slightly bitter taste fruits orange colour ripe pulpy red complete ripening forget check delicious recipe https www bigbasket com cookbook recipes 794 aviall,2,https://www.bigbasket.com/media/uploads/p/s/10000185-3_1-fresho-snake-gourd.jpg
30,"Fresho Snake Gourd, 250 g","Fresho Snake Gourd, 250 g",FRESH VEGETABLES,16,snake gourds true name long curved shape light green speckles waxy green skin firm flesh embedded seeds taste like cucumber slightly bitter taste fruits orange colour ripe pulpy red complete ripening forget check delicious recipe https www bigbasket com cookbook recipes 794 aviall,2,https://www.bigbasket.com/media/uploads/p/s/10000186-3_1-fresho-snake-gourd.jpg
32,"Fresho Palak, 500 g","Fresho Palak, 500 g",FRESH VEGETABLES,22,sweet nutty tangent flavour palaks green leafy vegetables succulent spoon shaped forget check delicious recipe https www bigbasket com cookbook recipes 2235 green detox smoothie,2,https://www.bigbasket.com/media/uploads/p/s/10000188-3_1-fresho-palak.jpg
33,"Fresho Sweet Corn / Indian Bhutta, 1 pc","Fresho Sweet Corn / Indian Bhutta, 1 pc",EXOTIC FRUITS & VEGGIES,27,wrapped lime coloured husks silk sweet corn contains numerous yellow succulent kernels starchy doughy consistency skin pops bite forget check delicious recipe https www bigbasket com cookbook recipes 132 sweet corn soup,0,https://www.bigbasket.com/media/uploads/p/s/10000189-4_2-fresho-sweet-corn-indian-bhutta.jpg
34,"Fresho Sweet Corn Grade A, 500 g","Fresho Sweet Corn Grade A, 500 g",FRESH VEGETABLES,9,fresho brand fresh fruits vegetables individually handpicked everyday experienced technically competent buyers buying storing packaging processes tailored ensure fresh nutrient dense healthy delicious produce reaches doorstep guarantee quality fresho products satisfied freshness items hand back customer experience executive cee full refund,3,https://www.bigbasket.com/media/uploads/p/s/10000190-3_2-fresho-sweet-corn-grade-a.jpg
35,"Fresho Mosambi, 6 pcs 800 gm - 1 kg","Fresho Mosambi, 6 pcs 800 gm - 1 kg",FRESH FRUITS,95,fresho mosambis best quality handpicked sourced directly farmers anantapur sweet lime mosambi lime like large sized underlying yellow base intense refreshing aroma due essential oils present skin generally tastes sweet occasionally tart sweet forget check delicious fruit recipe href https www bigbasket com cookbook recipes 1847 coconut chia pudding super bowl,1,https://www.bigbasket.com/media/uploads/p/s/10000191-4_2-fresho-mosambi.jpg
36,"Fresho Mosambi, 4 pcs 700-900g","Fresho Mosambi, 4 pcs 700-900g",FRESH FRUITS,69,fresho mosambis best quality handpicked sourced directly farmers anantapur sweet lime mosambi lime like large sized underlying yellow base intense refreshing aroma due essential oils present skin generally tastes sweet occasionally tart sweet forget check delicious fruit recipe href https www bigbasket com cookbook recipes 1847 coconut chia pudding super bowl https www bigbasket com cookbook recipes 1847 coconut chia pudding super bowl,1,https://www.bigbasket.com/media/uploads/p/s/10000192-4_2-fresho-mosambi.jpg
37,"Fresho Sweet Potato, 1 kg","Fresho Sweet Potato, 1 kg",FRESH VEGETABLES,58,flesh colours ranging white orange yellow sweet potatoes ovate cylindrical golden brown white brown skin delicious sweet flavour white fleshed firm orange fleshed softer forget check delicious recipe https www bigbasket com cookbook recipes 1730 healthy sweet potato rabri,2,https://www.bigbasket.com/media/uploads/p/s/10000193-4_2-fresho-sweet-potato.jpg
38,"Fresho Sweet Potato, 500 g","Fresho Sweet Potato, 500 g",FRESH VEGETABLES,30,flesh colours ranging white orange yellow sweet potatoes ovate cylindrical golden brown white brown skin delicious sweet flavour white fleshed firm orange fleshed softer forget check delicious recipe https www bigbasket com cookbook recipes 1730 healthy sweet potato rabri,2,https://www.bigbasket.com/media/uploads/p/s/10000194-4_2-fresho-sweet-potato.jpg
39,"Fresho Sweet Potato, 250 g","Fresho Sweet Potato, 250 g",FRESH VEGETABLES,15,flesh colours ranging white orange yellow sweet potatoes ovate cylindrical golden brown white brown skin delicious sweet flavour white fleshed firm orange fleshed softer forget check delicious recipe https www bigbasket com cookbook recipes 1730 healthy sweet potato rabri,2,https://www.bigbasket.com/media/uploads/p/s/10000195-4_2-fresho-sweet-potato.jpg
40,"Fresho Tapioca, 250 g","Fresho Tapioca, 250 g",FRESH VEGETABLES,8,starchy mild flavoured tapiocas edible roots grainy textured flesh,0,https://www.bigbasket.com/media/uploads/p/s/10000196-4_2-fresho-tapioca.jpg
41,"Fresho Tapioca, 500 g","Fresho Tapioca, 500 g",FRESH VEGETABLES,16,starchy mild flavoured tapiocas edible roots grainy textured flesh,0,https://www.bigbasket.com/media/uploads/p/s/10000197-4_2-fresho-tapioca.jpg
42,"Fresho Tomato - Cherry, 250 g","Fresho Tomato - Cherry, 250 g",EXOTIC FRUITS & VEGGIES,11,size colour juiciness cherries cherry tomatoes sweeter taste regular varieties pick tomatoes reputed farmers store hygienic conditions maintain freshness forget check delicious recipe https www bigbasket com cookbook recipes 1504 tomato feta omelette,1,https://www.bigbasket.com/media/uploads/p/s/10000198_9-fresho-tomato-cherry.jpg
43,"Fresho Tomato Hybrid, 2 kg approx. 24 to 25 nos","Fresho Tomato Hybrid, 2 kg approx. 24 to 25 nos",FRESH VEGETABLES,69,tomato hybrid delightfully popular flexible food comes numerous different varieties vary shape size color filled 50 helpful antioxidant lycopene offers fruitã â â red color rich moisture minerals vitamins phytonutrients superb supply vitamins c b6 k biotin beta carotene potassium niacin calcium phosphorous iron selenium zinc well many organic acids citric malic acids,2,https://www.bigbasket.com/media/uploads/p/s/10000199_6-fresho-tomato-hybrid.jpg
44,"Fresho Tomato - Hybrid, 1 kg","Fresho Tomato - Hybrid, 1 kg",FRESH VEGETABLES,23,tomato hybrids high quality fruits compared desi local tomatoes contain numerous edible seeds red colour due lycopene anti oxidant forget check delicious recipe https www bigbasket com cookbook recipes 1465 cheesy tomato disks,1,https://www.bigbasket.com/media/uploads/p/s/10000200-4_2-fresho-tomato-hybrid.jpg
45,"Fresho Tomato - Hybrid, 500 g","Fresho Tomato - Hybrid, 500 g",FRESH VEGETABLES,12,tomato hybrids high quality fruits compared desi local tomatoes contain numerous edible seeds red colour due lycopene anti oxidant forget check delicious recipe https www bigbasket com cookbook recipes 1465 cheesy tomato disks,1,https://www.bigbasket.com/media/uploads/p/s/10000201-4_2-fresho-tomato-hybrid.jpg
46,"Fresho Tomato Local Grade A, 2 kg","Fresho Tomato Local Grade A, 2 kg",FRESH VEGETABLES,32,fresho brand fresh fruits vegetables individually handpicked everyday experienced technically competent buyers buying storing packaging processes tailored ensure fresh nutrient dense healthy delicious produce reaches doorstep guarantee quality fresho products satisfied freshness items hand back customer experience executive cee full refund assortment ripened semi ripened tomatoes last longer,3,https://www.bigbasket.com/media/uploads/p/s/10000202-2_2-fresho-tomato-local-grade-a.jpg
47,"Fresho Tomato - Local, 1 kg","Fresho Tomato - Local, 1 kg",FRESH VEGETABLES,21,local tomatoes partly sour partly sweet contain many seeds inside edible red colour present tomatoes due lycopene anti oxidant forget check delicious recipe https www bigbasket com cookbook recipes 935 tomato chutney dosa idly,1,https://www.bigbasket.com/media/uploads/p/s/10000203-4_2-fresho-tomato-local.jpg
79,"Fresho Groundnut - Fresh, 1 kg","Fresho Groundnut - Fresh, 1 kg",FRESH VEGETABLES,132,fresh groundnut contains fibrous brown shell 2 3 small pods inside offers nutty starchy flavour,0,https://www.bigbasket.com/media/uploads/p/s/10000285_12-fresho-groundnut-fresh.jpg
48,"Fresho Tomato - Local, 500 g","Fresho Tomato - Local, 500 g",FRESH VEGETABLES,12.5,local tomatoes partly sour partly sweet contain many seeds inside edible red colour present tomatoes due lycopene anti oxidant forget check delicious recipe https www bigbasket com cookbook recipes 935 tomato chutney dosa idly,1,https://www.bigbasket.com/media/uploads/p/s/10000204-4_2-fresho-tomato-local.jpg
49,"Fresho Turnip, 500 g","Fresho Turnip, 500 g",FRESH VEGETABLES,16,white firm crunchy flesh turnips made edible roots stem leaves starchy succulent sweet peppery flavour forget check delicious recipe https www bigbasket com cookbook recipes 360 shalgam ki subzi,0,https://www.bigbasket.com/media/uploads/p/s/10000205-3_1-fresho-turnip.jpg
50,"Fresho Water Melon - Kiran, 1 pc (2 kg)","Fresho Water Melon - Kiran, 1 pc (2 kg)",FRESH FRUITS,22,fresho brand fresh fruits vegetables individually handpicked everyday experienced technically competent buyers buying storing packaging processes tailored ensure fresh nutrient dense healthy delicious produce reaches doorstep guarantee quality fresho products satisfied freshness items hand back customer experience executive cee full refund,3,https://www.bigbasket.com/media/uploads/p/s/10000206-2_10-fresho-water-melon-kiran.jpg
51,"Fresho Watermelon  - Small, 1 pc 1.7 - 2.5 kg","Fresho Watermelon  - Small, 1 pc 1.7 - 2.5 kg",FRESH FRUITS,65,greenish black smooth dark green surface fresho watermelons globular shape freshly picked directly farmers juicy sweet grainy textured flesh filled 12 14 sugar content making healthy alternative sugary carbonated drinks flesh colour watermelons pink red dark brown black seeds forget check delicious fruit recipe https www bigbasket com cookbook recipes 1181 watermelon mocktail,6,https://www.bigbasket.com/media/uploads/p/s/10000207-4_2-fresho-watermelon-small.jpg
52,"Fresho Capsicum - Yellow, 500 g","Fresho Capsicum - Yellow, 500 g",FRESH VEGETABLES,84,leaving mild fruity flavour tastebuds yellow capsicums also known yellow bell peppers bell shaped medium sized fruit pods thick shiny skin fleshy texture inside forget check delicious recipe https www bigbasket com cookbook recipes 1404 healthy stir fry,2,https://www.bigbasket.com/media/uploads/p/s/10000208-4_2-fresho-capsicum-yellow.jpg
53,"Fresho Capsicum - Yellow, 250 g","Fresho Capsicum - Yellow, 250 g",FRESH VEGETABLES,42,leaving mild fruity flavour tastebuds yellow capsicums also known yellow bell peppers bell shaped medium sized fruit pods thick shiny skin fleshy texture inside forget check delicious recipe https www bigbasket com cookbook recipes 1404 healthy stir fry,2,https://www.bigbasket.com/media/uploads/p/s/10000209-4_2-fresho-capsicum-yellow.jpg
54,"Fresho Zucchini - Yellow, 250 g","Fresho Zucchini - Yellow, 250 g",EXOTIC FRUITS & VEGGIES,14,yellow zucchini long slightly fat vegetable also known squash yellow variant comparatively softer flesh tastes sweeter green one forget check delicious recipe https www bigbasket com cookbook recipes 1404 healthy stir fry,4,https://www.bigbasket.com/media/uploads/p/s/10000210-4_2-fresho-zucchini-yellow.jpg
55,"Fresho Zucchini - Yellow, 500 g","Fresho Zucchini - Yellow, 500 g",EXOTIC FRUITS & VEGGIES,27,yellow zucchini long slightly fat vegetable also known squash yellow variant comparatively softer flesh tastes sweeter green one forget check delicious recipe https www bigbasket com cookbook recipes 1404 healthy stir fry,4,https://www.bigbasket.com/media/uploads/p/s/10000211-4_2-fresho-zucchini-yellow.jpg
56,"Daily Bread Bread - Whole Wheat, 400 g Pouch","Daily Bread Bread - Whole Wheat, 400 g Pouch",BREADS & BUNS,40,daily bread makes bread whole wheat nutritious tastier healthier regular white flour bread extremely soft perfectly baked uniformly portioned provide good taste palette whole wheat bread good option trying lose weight planning opt balanced diet daily bread packages breads efficiently avoid contamination loss nutritional values quality pouch tested ensure perfectly suitable consumption,5,https://www.bigbasket.com/media/uploads/p/s/10000223_1-daily-bread-bread-whole-wheat.jpg
57,"Daily Bread Bread - Brown, 400 g Pouch","
            Wheat or rye flour, Salt, Sugar, Water, Yeast, etc.
        ",BREADS & BUNS,40,daily bread brown bread soft fresh gluten free brown loaf richly coloured crust sprinkled millet flakes malt flavour nutty texture premium traditional granary bread made significant amounts whole grain flour like wheat rye ingredients rich essential vitamins iron dietary fibres fibre present brown bread takes care digestive system prevents diabetes,2,https://www.bigbasket.com/media/uploads/p/s/10000247_3-daily-bread-bread-brown.jpg
58,"Fresho Strawberry, 200 g","Fresho Strawberry, 200 g",EXOTIC FRUITS & VEGGIES,55,extremely juicy syrupy conical heart shaped fruits seeds skin give unique texture blend sweet tart flavour everyone favourite berries forget check delicious fruit recipe https www bigbasket com cookbook recipes 970 strawberry cheesecake,0,https://www.bigbasket.com/media/uploads/p/s/10000263-2_7-fresho-strawberry.jpg
