,name,about,category,ing,score
95,"Fresho Mango - Raspuri/Gola, 2 kg",extremely popular variety south india raspuri mangoes grown primarily mysore region karnataka raspuri mangoes excellent aromatic flavor juicy texture mango warm sweet taste also known ã â å sweet mangoã â â rich carotenes pre cursor vitamin vitamin c product image shown representation purpose actually product may vary based season produce availability,FRESH FRUITS,"Fresho Mango - Raspuri/Gola, 2 kg",0
96,"Fresho Alphonso Mango - Badami, 1 kg",badami called karnataka alphonso due sweet taste pale yellow skin yellowish orange flesh source premium quality badami mangoes directly farmers karnataka never miss mangoes season forget check delicious fruit recipe https www bigbasket com cookbook recipes 1345 alphonso mango pudding calcium carbide used ripening process mangoes,FRESH FRUITS,"Fresho Alphonso Mango - Badami, 1 kg",1
97,"Fresho Mallika Mango, 1 kg",hybrid neelum dasheri mallika perfect blend sweetness tartness mid season variety handpicked best quality mangoes forget check delicious fruit recipe https www bigbasket com cookbook recipes 1246 mango mousse carbide used ripening process mangoes,FRESH FRUITS,"Fresho Mallika Mango, 1 kg",0
98,"Fresho Lalbagh Mango - Sindhura, 1 kg",popularly known rajgira karnataka soft juicy fleshed fruit distinct appearance shades green red also known honey mango exceptional flavour sweetness term sindhura came due vermillion shade resembles sindoor forget check delicious fruit recipe https www bigbasket com cookbook recipes 1209 mango bites calcium carbide used ripening process mangoes,FRESH FRUITS,"Fresho Lalbagh Mango - Sindhura, 1 kg",2
99,"Fresho Lalbagh Mango - Sindhura, 2 kg",fresho brand fresh fruits vegetables individually handpicked every day experienced technically competent buyers buying storing packaging processes tailored ensure fresh nutrient dense healthy delicious produce reaches doorstep guarantee quality fresho products satisfied freshness items hand back customer experience executive cee full refund product image shown representation purpose actual product may vary based season produce availability click delicious fruit recipes https www bigbasket com flavors collections 228 fresh fruits calcium carbide used ripening process mangoes,FRESH FRUITS,"Fresho Lalbagh Mango - Sindhura, 2 kg",3
100,"Fresho Malgoa Mango, 1 kg",alphonso south india malgoa round green colour shades red fusion flavour spice sweetness flesh fiberless comes sweet fragrance forget check delicious fruit recipe https www bigbasket com cookbook recipes 2314 mango mint limeade slush calcium carbide used ripening process mangoes,FRESH FRUITS,"Fresho Malgoa Mango, 1 kg",2
101,"Fresho Avocado, 1 kg",avocados oval shaped fruits thick green bumpy leathery outer skin unique texture creamy light green coloured flesh buttery flavour special aroma avocados also known alligator pear butter fruit fresho avocados delivered entice taste buds also ensure well forget check delicious fruit recipe https www bigbasket com cookbook recipes 2205 chatpate green noodles,EXOTIC FRUITS & VEGGIES,"Fresho Avocado, 1 kg",2
102,"Fresho Celery, 1 kg",relish juicy crunchy mildly salty flavoured celeries individually handpicked everyday trained farmers celeries wide green leaves attached thick juicy stalks joined common base https www bigbasket com cookbook recipes 239 chinese clear vegetable soup,HERBS & SEASONINGS,"Fresho Celery, 1 kg",3
103,"Fresho Basil - Italian, 1 kg",aroma bright green culinary herb popular worldwide used fresh source flavour recipe forget check delicious recipe https www bigbasket com cookbook recipes 767 cheesy tomato basil pasta,HERBS & SEASONINGS,"Fresho Basil - Italian, 1 kg",2
104,"Fresho Pak Choi, 1 kg",pak choi chinese celery cabbage crisp leaves stalk flavour somewhat mix mild cabbage spinach,EXOTIC FRUITS & VEGGIES,"Fresho Pak Choi, 1 kg",0
105,"Fresho Baby Potato, 1 kg",small baby potatoes sweeter variety normal ones come creamy white interior baby potato starchy vegetable adds thickness recipes blends well vegetables forget check delicious recipe https www bigbasket com cookbook recipes 2133 baked cheesy baby potatoes,EXOTIC FRUITS & VEGGIES,"Fresho Baby Potato, 1 kg",0
106,"Fresho Lemon Grass, 1 kg",lemon grass culinary herb comes excellent aroma also used medicinal herb india subtle citrusy flavour used fresh even dried powdered forget check delicious recipe https www bigbasket com cookbook recipes 2255 lemongrass tea,HERBS & SEASONINGS,"Fresho Lemon Grass, 1 kg",0
107,"Fresho Lettuce - Green, 1 kg",tender delicate loosely packed green leaves lettuce gives crunchy fresh feel burgers sandwiches forget check delicious recipe https www bigbasket com cookbook recipes 570 caesar salad,EXOTIC FRUITS & VEGGIES,"Fresho Lettuce - Green, 1 kg",2
108,"Fresho Capsicum - Red, 1 kg",leaving sweet fruity flavour tastebuds red capsicums also known red bell peppers bell shaped medium sized fruit pods thick shiny skin fleshy texture inside red bell peppers ripened sweetest capsicums forget check delicious recipe https www bigbasket com cookbook recipes 2347 pro veg platter greek yogurt dip,FRESH VEGETABLES,"Fresho Capsicum - Red, 1 kg",0
109,"Fresho Zucchini - Yellow, 1 kg",yellow zucchini long slightly fat vegetable also known squash yellow variant comparatively softer flesh tastes sweeter green one forget check delicious recipe https www bigbasket com cookbook recipes 1404 healthy stir fry,EXOTIC FRUITS & VEGGIES,"Fresho Zucchini - Yellow, 1 kg",4
110,"Fresho Baby Carrot, 1 kg",fresho brand fresh fruits vegetables individually handpicked everyday experienced technically competent buyers buying storing packaging processes tailored ensure fresh nutrient dense healthy delicious produce reaches doorstep guarantee quality fresho products satisfied freshness items hand back customer experience executive cee full refund baby carrots carrots fully grown similar normal carrots except smaller size product image shown representation purpose actually product may vary based season produce availability,EXOTIC FRUITS & VEGGIES,"Fresho Baby Carrot, 1 kg",3
111,"Fresho Baby Corn - Peeled, 1 kg",baby corns small size handpicked mature deliver fresh peeled postponing corn dish wanted make get time forget check delicious recipe https www bigbasket com cookbook recipes 955 baby corn sesame stir fry,CUTS & SPROUTS,"Fresho Baby Corn - Peeled, 1 kg",0
112,"Fresho Fresho Capsicum - Yellow, 1 Kg",leaving mild fruity flavour tastebuds yellow capsicums also known yellow bell peppers bell shaped medium sized fruit pods thick shiny skin fleshy texture inside forget check delicious recipe https www bigbasket com cookbook recipes 1404 healthy stir fry,FRESH VEGETABLES,"Fresho Fresho Capsicum - Yellow, 1 Kg",2
113,"Fresho Amaranthus - Green, 1 kg",highly nutritious leafy vegetable amaranthus also known chinese spinach available light purple green bicolour two forget check delicious recipe https www bigbasket com cookbook recipes 1109 thotakura vadiyalu curry,FRESH VEGETABLES,"Fresho Amaranthus - Green, 1 kg",2
114,"Fresho Coriander Leaves, 1 kg",coriander leaves green fragile decorative appearance contain minimal aroma spicy sweet taste bother wasting time cutting roots value money time provide freshest leafy edible parts forget check delicious recipe https www bigbasket com cookbook recipes 33 green chutney,HERBS & SEASONINGS,"Fresho Coriander Leaves, 1 kg",2
115,"Fresho Curry Leaves, 1 kg",dark green glossy appearance curry leaves strong flavour release tasty aroma fried hot oil forget check delicious recipe https www bigbasket com cookbook recipes 742 curryleaves lemonade,HERBS & SEASONINGS,"Fresho Curry Leaves, 1 kg",2
116,"Fresho Dill Leaves, 1 kg",green flimsy fernlike dill leaves strong aroma sharp tang spongy sugary flavour forget check delicious recipe https www bigbasket com cookbook recipes 1793 dil wale pan cake,HERBS & SEASONINGS,"Fresho Dill Leaves, 1 kg",2
117,"Fresho Mint Leaves, 1 kg",mint leaves tender herbs gentle stems distinct pleasant aroma pleasing taste cool sensation medicinal qualities best used raw added end cooking order maintain delicate flavour texture forget check delicious recipe https www bigbasket com cookbook recipes 810 honey mint lemonade,FRESH VEGETABLES,"Fresho Mint Leaves, 1 kg",0
118,"Fresho Garlic, 1 kg",garlic made several heads wrapped thin whitish layers firm mild flavour crushed emit strong pungent aroma forget check delicious recipe https www bigbasket com cookbook recipes 819 pull apart cheese garlic bread,HERBS & SEASONINGS,"Fresho Garlic, 1 kg",0
119,"Fresho Onion - Sambhar, 1 kg",also known button onions sambar onions relatively smaller onions mild flavour slightly sweet taste,FRESH VEGETABLES,"Fresho Onion - Sambhar, 1 kg",0
120,"Fresho Amla, 1 kg",fresho product image shown representation purpose actually product may vary based season produce availability,ORGANIC FRUITS & VEGETABLES,"Fresho Amla, 1 kg",0
121,"Fresho Chilli - Green Long, Medium, 1 kg",green chillis best kitchen ingredient bring dash spiciness recipes fresh flavour sharp bite makes must almost indian dishes particular green chilli variety big,HERBS & SEASONINGS,"Fresho Chilli - Green Long, Medium, 1 kg",2
122,"Fresho Drumstick, 1 kg",drumsticks long dark green bumpy pods running along length fleshy pulp inside pod encasing seed pods faint bitter taste combined slight sweetness forget check delicious recipe https www bigbasket com cookbook recipes 1748 drumstick tomato curry,FRESH VEGETABLES,"Fresho Drumstick, 1 kg",2
123,"Fresho Lemon, 1 kg",segmented flesh unique pleasant aroma strong sour taste lemons round oval yellow texturized external peel forget check delicious recipe https www bigbasket com cookbook recipes 142 sweet lemon pickle,HERBS & SEASONINGS,"Fresho Lemon, 1 kg",0
124,"Fresho Tapioca, 1 kg",starchy mild flavoured tapiocas edible roots grainy textured flesh,FRESH VEGETABLES,"Fresho Tapioca, 1 kg",0
125,"Fresho Ginger, 1 kg",firm fibrous ginger roots stretched multiple fingers light dark tan skin rings aromatic spicy pungent flavour gets intensified ginger dried lessens cooked forget check delicious recipe https www bigbasket com cookbook recipes 232 chinese white sauce,HERBS & SEASONINGS,"Fresho Ginger, 1 kg",0
126,"Fresho Banana Flower, 1 pc",banana flower also known banana blossom tear shaped maroon purplish flower hanging end banana clusters grows end stem holding cluster bananas edible flower unique excellent taste rich nutrients every purple outer sheath removed anthers edible,FRESH FRUITS,"Fresho Banana Flower, 1 pc",0
127,"Fresho Radish - Red, 1 kg",pinkish red cylindrical shaped red radishes taper white flesh juicy crispy radishes come tinge spiciness,FRESH VEGETABLES,"Fresho Radish - Red, 1 kg",0
128,"Fresho Turnip, 1 kg",white firm crunchy flesh turnips made edible roots stem leaves starchy succulent sweet peppery flavour forget check delicious recipe https www bigbasket com cookbook recipes 360 shalgam ki subzi,FRESH VEGETABLES,"Fresho Turnip, 1 kg",0
129,"Fresho Zucchini - Green, 1 kg",zucchini long slender cucumber like green vegetable also called squash green variant firm flesh mild flavour forget check delicious recipe https www bigbasket com cookbook recipes 1933 quinoa vegetables,EXOTIC FRUITS & VEGGIES,"Fresho Zucchini - Green, 1 kg",2
130,"Fresho Neelam Mango, 1 kg",neelam mangoes perfectly shaped large oblong pointed base skin golden yellow floral aroma acidic sweet taste late season variety forget check delicious fruit recipe https www bigbasket com cookbook recipes 1342 mangoche pie calcium carbide used ripening process mangoes,FRESH FRUITS,"Fresho Neelam Mango, 1 kg",0
131,"Fresho Mango - Neelam, 2 kg",fresho brand fresh fruits vegetables individually handpicked everyday experienced technically competent buyers buying storing packaging processes tailored ensure fresh nutrient dense healthy delicious produce reaches doorstep guarantee quality fresho products satisfied freshness items hand back customer experience executive cee full refund product image shown representation purpose actually product may vary based season produce availability click delicious fruit recipes https www bigbasket com flavors collections 228 fresh fruits,FRESH FRUITS,"Fresho Mango - Neelam, 2 kg",3
132,"Fresho Banana - Nendran, 500 g",nendran bananas hail kerala staple fruit pale yellow colour silky flesh compared varieties distinctive colour texture owing cultivation adopted variety forget check delicious fruit recipe https www bigbasket com cookbook recipes 573 banana pancake,FRESH FRUITS,"Fresho Banana - Nendran, 500 g",0
133,"Fresho Banana - Nendran, 1 kg",nendran bananas hail kerala staple fruit pale yellow colour silky flesh compared varieties distinctive colour texture owing cultivation adopted variety forget check delicious fruit recipe https www bigbasket com cookbook recipes 573 banana pancake,FRESH FRUITS,"Fresho Banana - Nendran, 1 kg",0
134,"Fresho Copra Dry, 500 g approx. 3 to 4 nos",copra completed premium grade coconuts exclusively designed keep goodness coconut oil completed best coconuts ensuring best quality edible grade coconut oil advanced packaging guarantee long shelf life,FRESH VEGETABLES,"Fresho Copra Dry, 500 g approx. 3 to 4 nos",1
135,"Fresho Copra Dry, 1 kg approx. 7 to 8 nos",copra completed premium grade coconuts exclusively designed keep goodness coconut oil prepared best coconuts ensuring best quality edible grade coconut oil higher packaging ensure long shelf life,FRESH VEGETABLES,"Fresho Copra Dry, 1 kg approx. 7 to 8 nos",1
136,"Fresho Custard Apple, 500 g",fresho brand fresh fruits vegetables individually handpicked everyday experienced technically competent buyers buying storing packaging processes tailored ensure fresh nutrient dense healthy delicious produce reaches doorstep guarantee quality fresho products satisfied freshness items hand back customer experience executive cee full refund custard apples compund thin yet hard skinned white granular creamy sweet tasting aromatic flesh encloses cluster flesh covered seeds native western tropical regions product image shown representation purpose actually product may vary based season produce availability click delicious fruit recipes https www bigbasket com flavors collections 228 fresh fruits,EXOTIC FRUITS & VEGGIES,"Fresho Custard Apple, 500 g",3
137,"Fresho Custard Apple, 1 kg",fresho brand fresh fruits vegetables individually handpicked everyday experienced technically competent buyers buying storing packaging processes tailored ensure fresh nutrient dense healthy delicious produce reaches doorstep guarantee quality fresho products youre satisfied freshness items hand back customer experience executive cee full refund custard apples compund thin yet hard skinned white granular creamy sweet tasting aromatic flesh encloses cluster flesh covered seeds native western tropical regions product image shown representation purpose actually product may vary based season produce availability click delicious fruit recipes https www bigbasket com flavors collections 228 fresh fruits,EXOTIC FRUITS & VEGGIES,"Fresho Custard Apple, 1 kg",3
138,"Fresho Apple - Shimla, 500 g",fresho product image shown representation purpose actually product may vary based season produce availability click delicious fruit recipes https www bigbasket com flavors collections 228 fresh fruits,FRESH FRUITS,"Fresho Apple - Shimla, 500 g",0
139,"Fresho Apple - Shimla, 1 kg",fresho product image shown representation purpose actually product may vary based season produce availability click delicious fruit recipes https www bigbasket com flavors collections 228 fresh fruits,FRESH FRUITS,"Fresho Apple - Shimla, 1 kg",0
140,"Fresho Sprouts - Mixed Gram, 200 g",sprouts mixed gram fine health contains greater concentration nutrients like vitamin e c k iron potassium phyto chemicals bioflavonoids antioxidants protein chemo protectants served point throughout meal sprouts referred medicine health promoting properties product image shown representation purpose actually product may vary based season produce availability,CUTS & SPROUTS,"Fresho Sprouts - Mixed Gram, 200 g",2
141,"Fresho Sprouts-Moong Green, 200 g",bean sprouts young shoots mung bean petite pale yellow pale green leaves attached silvery bright white shoot high water content bean sprouts offer crunch subtle nutty flavour take good care growing preparing sprouts order prevent contamination,CUTS & SPROUTS,"Fresho Sprouts-Moong Green, 200 g",4
142,"Fresho Sprouts - Channa Brown, 200 g",highly protenacious brown channa sprouts white tails taste fabulous grainy texture nutty flavour take good care growing preparing sprouts prevent contamination,CUTS & SPROUTS,"Fresho Sprouts - Channa Brown, 200 g",2
143,"Fresho Sprouts - Horse Gram, 200 g",horse gram reddish brown colored oval shaped flattened round glossy skinned lentil rich minerals especially iron phosphorus calcium vitamin side extremely high b complex since falls legume family rich proteins fiber also contains antioxidants polyphenols product image shown representation purpose actually product may vary based season produce availability,CUTS & SPROUTS,"Fresho Sprouts - Horse Gram, 200 g",0
144,"Fresho Parwal, 1 kg",yellowish green skin parwal short slightly pointed one end blunt flesh vegetable creamy white small firm seeds bland flavour allowing absorb variety flavours spices cooking forget check delicious recipe https www bigbasket com cookbook recipes 1811 exotic soup,FRESH VEGETABLES,"Fresho Parwal, 1 kg",2
145,"Fresho Parwal, 500 g",yellowish green skin parwal short slightly pointed one end blunt flesh vegetable creamy white small firm seeds bland flavour allowing absorb variety flavours spices cooking forget check delicious recipe https www bigbasket com cookbook recipes 1811 exotic soup,FRESH VEGETABLES,"Fresho Parwal, 500 g",2
146,"Fresho Beans - Double, 500 g",double beans also called lima butter beans starchy yet buttery texture delicate flavour compliments wide variety dishes flat round beans light green colour,FRESH VEGETABLES,"Fresho Beans - Double, 500 g",2
147,"Fresho Beans - Double, 250 g",double beans also called lima butter beans starchy yet buttery texture delicate flavour compliments wide variety dishes flat round beans light green colour,FRESH VEGETABLES,"Fresho Beans - Double, 250 g",2
148,"Fresho Guava, 1 kg",savour green guavas along hard pale yellow edible seeds white flesh crunchy mildly sweet good fragrance forget check delicious fruit recipe https www bigbasket com cookbook recipes 802 fruit salad trifle,FRESH FRUITS,"Fresho Guava, 1 kg",2
149,"Fresho Guava, 500 g",savour green guavas along hard pale yellow edible seeds white flesh crunchy mildly sweet good fragrance forget check delicious fruit recipe https www bigbasket com cookbook recipes 802 fruit salad trifle,FRESH FRUITS,"Fresho Guava, 500 g",2
150,"Fresho Tinda, 500 g",tinda small vegetable looks bigger green apple smaller pumpkin short squat like pumpkin tindas dark green stem white flesh tender tastes like cucumber seeds within edible forget check delicious recipe https www bigbasket com cookbook recipes 189 masala tinda,FRESH VEGETABLES,"Fresho Tinda, 500 g",2
