,name,about,category,ing,score
231,"bb Royal Urad - Whole/Gota, 500 g Pouch",urad wash gota skinned white coloured lentil strong aroma native india high dietary value rich resource vitamin b iron magnesium potassium generally used preparation different cuisines product hygienically processed units eliminate kind dust foreign particles urad dal generally soaked ground make batter idlis dosas vadas etc used curries chutneys sometimes makes desserts well click unique delicious recipes https www bigbasket com flavors collections 230 dals pulses,DALS & PULSES,"bb Royal Urad - Whole/Gota, 500 g Pouch",1
232,"bb Royal Urad Dal - Split, 500 g Pouch",urad dal cream colour dal used trendy south indian dishes dosa idly dahi vada well finished spicy dal curry requires soaking hours cooking stability urad dal generally thicker dals white urad like lentils pulses first class supply protein dietary fiber low fat rich b complex vitamins potassium calcium click unique delicious recipes https www bigbasket com flavors collections 230 dals pulses,DALS & PULSES,"bb Royal Urad Dal - Split, 500 g Pouch",0
233,"bb Royal Channa - Brown, 500 g Pouch",channa brown gram bengal gram deep brown coloured bean like kabuli channa lesser size bland skin mild tasting bean high dietary fiber one majority protein rich beans generally utilized curries used create besan flour consumed boiled fried sprouted click unique delicious recipes https www bigbasket com flavors collections 230 dals pulses,DALS & PULSES,"bb Royal Channa - Brown, 500 g Pouch",0
234,"bb Royal Maida, 500 g Pouch",maida considered bleached flour less protein compare unbleached ideal blend smooth tough wheat flour bleached flour less protein unbleached extremely finely milled flour used indian cooking making breads pastries various biscuits particular parottas click unique delicious recipes https www bigbasket com flavors collections 232 flours sooji,"ATTA, FLOURS & SOOJI","bb Royal Maida, 500 g Pouch",1
235,"bb Royal Ragi Flour/Nachni Atta, 1 kg Pouch",ragi used whole grains higher minerals protein comparison cereals millets remarkable supply protein making perfect vegetarian diets highest amount potassium calcium ragi great supply iron making useful individuals low hemoglobin levels also includes b vitamins especially b6 folic acid niacin click unique delicious recipes https www bigbasket com flavors collections 232 flours sooji,"ATTA, FLOURS & SOOJI","bb Royal Ragi Flour/Nachni Atta, 1 kg Pouch",1
236,"bb Royal Lobia - White, 500 g Pouch",lobia white extremely delicious nutritious protein packed dish high fiber soluble fiber complex protein iron carbohydrates folate well known consistency ability absorb tastes rich fiber white lobia also contain necessary nutrients minerals vitamins click unique delicious recipes https www bigbasket com flavors collections 230 dals pulses,DALS & PULSES,"bb Royal Lobia - White, 500 g Pouch",0
237,"bb Royal Channa Dal, 500 g Pouch",channa dal sugary nutty taste dal amongst well liked dal india ready basis proteins balanced diet including little meat includes mild sweet flavor cooked extremely nutritious good source dietary fibre includes insignificant amount polyunsaturated fat click unique delicious recipes https www bigbasket com flavors collections 230 dals pulses,DALS & PULSES,"bb Royal Channa Dal, 500 g Pouch",2
238,"bb Royal Urad - Whole/Gota, 1 kg Pouch",urad wash gota skinned white colored lentil strong taste native india superb supply protein dietary fibre one finest plant supplies protein minerals iron folic acid magnesium potassium vitamin b also click unique delicious recipes https www bigbasket com flavors collections 230 dals pulses,DALS & PULSES,"bb Royal Urad - Whole/Gota, 1 kg Pouch",1
239,"bb Royal Ragi Flour/Nachni Atta, 500 g Pouch",ragi flour loaded normal fibers nutrients necessary body growth click unique delicious recipes https www bigbasket com flavors collections 232 flours sooji,"ATTA, FLOURS & SOOJI","bb Royal Ragi Flour/Nachni Atta, 500 g Pouch",0
240,"bb Royal Urad - Black, Split/Chilka, 500 g Pouch",urad dal valued pulse india rich dietary value urad dal trendy amongst vegetarians acts like rich protein source widely utilized different cooking preparations papad dosa vada click unique delicious recipes https www bigbasket com flavors collections 230 dals pulses,DALS & PULSES,"bb Royal Urad - Black, Split/Chilka, 500 g Pouch",1
241,"bb Royal Besan - Flour, 500 g",gram flour besan light yellow color pulses flour made grinding chickpea bengal gram rich fiber nutrients improve heart health stabilize blood sugar prevent diabetes besan used make batter fries like bhajjis pakodas vadas also used make desserts various kinds sweet dishes used natural scrub skin believed enhance complexion click unique delicious recipes https www bigbasket com flavors collections 232 flours sooji,"ATTA, FLOURS & SOOJI","bb Royal Besan - Flour, 500 g",3
242,"bb Royal Rajma - Kashmiri, 500 g Pouch",kashmiri rajma dark red kidney beans known rich red color even cooked outstanding supply folate manganese dietary fiber fine supply protein phosphorus copper thiamine vitamin b1 iron potassium magnesium low fat loaded nutrients click unique delicious recipes https www bigbasket com flavors collections 230 dals pulses,DALS & PULSES,"bb Royal Rajma - Kashmiri, 500 g Pouch",0
243,"bb Royal Urad - Black, Whole/Sabut, 500 g Pouch",urad dal used key ingredient indian cuisine preparing strong diet black skinned white colored lentil sturdy flavor split half brilliant supply protein dietary fibre one finest plant sources protein minerals iron folic acid magnesium potassium vitamin b also click unique delicious recipes https www bigbasket com flavors collections 230 dals pulses,DALS & PULSES,"bb Royal Urad - Black, Whole/Sabut, 500 g Pouch",1
244,"bb Royal Fenugreek/Methi, 200 g",used major spice india methi fenugreek plant native southern europe asia bb royal brings finest selection methi seeds known immense health benefits seeds bitter taste lose bitterness roasted little loaded health benefits methi seeds hygienically packed ensure retain natural goodness aroma,MASALAS & SPICES,"bb Royal Fenugreek/Methi, 200 g",5
245,"bb Royal Cumin/Jeera - Whole, 100 g",jeera strong spice people use add additional taste food offers sturdy exclusive soothing aroma however spice well known flavour also health benefits,MASALAS & SPICES,"bb Royal Cumin/Jeera - Whole, 100 g",3
246,"bb Royal Fenugreek/Methi, 100 g",methi fenugreek seeds cuboid shaped tiny solid fragrant dirty yellow coloured strong flavoured seeds fenugreek plant wealthy dietary fibre iron copper vitamin c minerals potassium phosphorous sodium calcium magnesium plenty,MASALAS & SPICES,"bb Royal Fenugreek/Methi, 100 g",1
247,"bb Royal Beans - Double, White, 200 g Pouch",bb royal brings fine selection double white beans also called haricots navy beans cannellini oval shape slight curvy texture ideally soaked overnight boiled used cooking click unique delicious recipes https www bigbasket com flavors collections 230 dals pulses,DALS & PULSES,"bb Royal Beans - Double, White, 200 g Pouch",0
248,"bb Royal Mustard/Rai - Small, 100 g",mustard seeds famous ingredient several regional cuisines also relishes spicy aromatic rustic taste fragrance mustard add meals known numerous benefits since low calories rich nutritional value lot antibacterial antiseptic qualities,MASALAS & SPICES,"bb Royal Mustard/Rai - Small, 100 g",2
249,"bb Royal Beans - Double, Red, 200 g Pouch",bb royal house premium brand finest staples sourced right best farms produce centers order get good quality competitive prices every product carefully selected experienced technically competent merchandisers cleaned packed hygienic facilities food grade plastic sold competitive prices market click unique delicious recipes https www bigbasket com flavors collections 230 dals pulses,DALS & PULSES,"bb Royal Beans - Double, Red, 200 g Pouch",3
250,"bb Royal Matki/Moth - Whole, 200 g Pouch",whole mataki mot dal small brown colored oblong shaped bean especially familiar indian cuisine superior attention vitamins proteins minerals enzymes sprouts simply digestible also dietary fiber folate virtually fat fine supply potassium iron click unique delicious recipes https www bigbasket com flavors collections 230 dals pulses,DALS & PULSES,"bb Royal Matki/Moth - Whole, 200 g Pouch",0
251,"bb Royal Mustard/Rai - Small, 200 g",mustard rai cruciferous vegetable related broccoli brussels sprouts cabbage almost 40 different types mustard plants two varieties used staple indian kitchens black white variety unique healing properties like black mustard seeds contain loads glucosinolates phytonutrient known protect cancer bb royal brings exclusively picked rai mustard seeds packed way retain pungent flavour quality,MASALAS & SPICES,"bb Royal Mustard/Rai - Small, 200 g",2
252,"bb Royal Cumin/Jeera - Whole, 200 g",jeera strong spice people use add additional taste food offers sturdy exclusive soothing aroma however spice well known flavour also health benefits,MASALAS & SPICES,"bb Royal Cumin/Jeera - Whole, 200 g",3
253,"bb Royal Soya Bean, 200 g Pouch",soybean also form legume used making variety items like tofu soy milk even soy cheese bb royal soybeans packed flavour nutrients high nutrition neutral taste click unique delicious recipes https www bigbasket com flavors collections 230 dals pulses,DALS & PULSES,"bb Royal Soya Bean, 200 g Pouch",0
254,"bb Royal Jaggery Round, 500 g",jaggery gur made boiling raw concentrated sugar cane juice till solidifies used mainly asia africa defined also non centrifugal sugar since product spun processing leaves nutritiousmolasses intact gur bb royal jaggery packs goodness tradition comes without sulphur added health benefits,"SALT, SUGAR & JAGGERY","bb Royal Jaggery Round, 500 g",3
255,"bb Royal Jaggery Round, 1 kg",bb royal sulphur free jaggery made using non centrifugal cane sugar used various parts india centuries sweet taste jaggery packed goodness nutrients considering doesnt contain sulphur added health benefits,"SALT, SUGAR & JAGGERY","bb Royal Jaggery Round, 1 kg",4
256,"bb Popular Almond/Badam - Californian, Giri, 100 gm Pouch",american almond almonds sugar synthetic bitter almond oil potassium sorbate preservative tasty nutritious snack plenty health benefits rich potassium vitamin e magnesium calcium additionally almonds significant supply fibre protein naturally low sugar assists contribute improved heart health click unique delicious recipes https www bigbasket com flavors collections 231 dry fruits berries nuts,DRY FRUITS,"bb Popular Almond/Badam - Californian, Giri, 100 gm Pouch",6
257,"bb Royal Almond/Badam - Californian, Giri, 100 g Pouch",unlike people think almonds seeds fruit grows almond tree preferred world extremely high nutritional value california almonds bring right dose good cholesterol vitamins fortify immune system bb royal california ensures get almonds best shape nutrients preserved click unique delicious recipes https www bigbasket com flavors collections 231 dry fruits berries nuts,DRY FRUITS,"bb Royal Almond/Badam - Californian, Giri, 100 g Pouch",1
258,"bb Royal Almond/Badam - Roasted & Salted, 100 gm Pouch",almonds roasted salted create key part strong various diet moderately long shelf life portability wealthy nutrient profile create nuts perfect snack ideas aid keep healthy diet roasted salted almonds benefit health increasing intake key nutrients fat free roasted almonds include 0 grams trans fat per serving click unique delicious recipes https www bigbasket com flavors collections 231 dry fruits berries nuts,DRY FRUITS,"bb Royal Almond/Badam - Roasted & Salted, 100 gm Pouch",5
259,"bb Royal Pista - Irani, Roasted & Salted, 100 g",pista pistachios defined rich nutty taste enhanced roasting understanding taste bb royal roasted salted pista packaged exclusively roasted salted flavour makes ideal snack guests gifting purposes click unique delicious recipes https www bigbasket com flavors collections 231 dry fruits berries nuts,DRY FRUITS,"bb Royal Pista - Irani, Roasted & Salted, 100 g",0
260,"bb Royal Plain Pista - Kernel, 100 g Pouch",pistachios tiny delicious nuts enclosed shells outstanding rich tasting nut sometimes called well liked little size green colour simple open shells click unique delicious recipes https www bigbasket com flavors collections 231 dry fruits berries nuts,DRY FRUITS,"bb Royal Plain Pista - Kernel, 100 g Pouch",2
261,"bb Popular Cashew/Kaju - Whole, 100 g",cashew nuts kidney shaped delicately sweet crunchy seeds found bottom cashew apple buttery sweet salty taste makes almost everyone favourite dry fruit nut also good source vitamins minerals antioxidants readily available serve instant snack hunger strikes cashew nuts used widely kitchen savoury sweet dishes click unique delicious recipes https www bigbasket com flavors collections 231 dry fruits berries nuts,DRY FRUITS,"bb Popular Cashew/Kaju - Whole, 100 g",0
262,"bb Royal Cashew/Kaju - Whole, 100 g",cashew contains rich flavour making delicious nut white colour soft mild taste click unique delicious recipes https www bigbasket com flavors collections 231 dry fruits berries nuts,DRY FRUITS,"bb Royal Cashew/Kaju - Whole, 100 g",0
263,"bb Popular Cashew/Kaju - Split, 100 g",cashew split 2 pc includes good amounts dietary fibre oil antioxidants wealthy flavour common ingredient desserts utilized make oils create excellent garnish baked goods cashews wealthy iron selenium phosphorus magnesium zinc also excellent sources protein antioxidants phytochemicals click unique delicious recipes https www bigbasket com flavors collections 231 dry fruits berries nuts,DRY FRUITS,"bb Popular Cashew/Kaju - Split, 100 g",0
264,"bb Popular Cashew/Kaju - Broken, 100 g Pouch",cashew broken 4 pc rich monounsaturated fatty acid minerals iron potassium phosphorous copper zinc selenium also contain high quality amounts dietary fibre oil antioxidants makes efficient nuts thickening water based dishes meat stews soups indian milk based desserts click unique delicious recipes https www bigbasket com flavors collections 231 dry fruits berries nuts,DRY FRUITS,"bb Popular Cashew/Kaju - Broken, 100 g Pouch",1
265,"bb Royal Cashew/Kaju - Roasted & Salted, 100 gm Pouch",cashew roasted salted suitable delicious snack either snack blend strong eat moderation part balanced diet contain similar nutrition information includes abundance nutritional benefits including three macronutrients carbohydrates fat protein click unique delicious recipes https www bigbasket com flavors collections 231 dry fruits berries nuts,DRY FRUITS,"bb Royal Cashew/Kaju - Roasted & Salted, 100 gm Pouch",4
266,"bb Royal Masala Cashew/Kaju - Black Pepper, 100 g Pouch",masala cashews quick nutritious snack particular variety perfectly coated black pepper tasty indian snack roasted perfection goodness spices dry mango powder amchur black pepper etc cashews outstanding supply fibre protein cashews fine supply minerals like sodium potassium calcium click unique delicious recipes https www bigbasket com flavors collections 231 dry fruits berries nuts,DRY FRUITS,"bb Royal Masala Cashew/Kaju - Black Pepper, 100 g Pouch",0
267,"bb Royal Masala Cashew/Kaju - Red Chilli, 100 g Pouch",red chilly cashew brave yet beloved cashews covered red chilly pepper powder amounts vitamin c provitamin extremely high potassium high magnesium iron red chilli cashews make tasty snacks generally used curries chutneys salads chat click unique delicious recipes https www bigbasket com flavors collections 231 dry fruits berries nuts,DRY FRUITS,"bb Royal Masala Cashew/Kaju - Red Chilli, 100 g Pouch",0
268,"bb Royal Raisins/Kishmish - Indian, 100 g Pouch",indian raisins obtained drying grapes either mechanical driers sun turns fresh grapes brown coloured raisins raisins come lots health benefits however rich sugars calories dense supply minerals like calcium manganese iron magnesium potassium fluoride copper boron zinc also fine source b complex vitamins b1 b2 b3 b6 include small amounts vitamin e vitamin c vitamin k click unique delicious recipes https www bigbasket com flavors collections 231 dry fruits berries nuts,DRY FRUITS,"bb Royal Raisins/Kishmish - Indian, 100 g Pouch",3
269,"bb Royal Raisins/Kishmish - Netal, 100 g Pouch",raisins dried form grape filled energy nutrition suitable high energy low fat snack wealthy calories sugars wealthy several antioxidants containing resveratrol anthocyanins especially derived red purple grapes tannins catechins gives 10 daily required levels dietary fibre protein 100 grams also excellent source b complex vitamins vitamin e c k click unique delicious recipes https www bigbasket com flavors collections 231 dry fruits berries nuts,DRY FRUITS,"bb Royal Raisins/Kishmish - Netal, 100 g Pouch",1
270,"bb Royal Raisins/Kishmish - Black, Seedless, 100 g Pouch",black seedless raisin famous variety dried grape extensively known sugary taste juicy flavour black seedless raisin comes quite medicinal properties assist us take proper care health low calorie contains antioxidants fibre minerals rich potassium phytochemicals calcium click unique delicious recipes https www bigbasket com flavors collections 231 dry fruits berries nuts,DRY FRUITS,"bb Royal Raisins/Kishmish - Black, Seedless, 100 g Pouch",2
271,"bb Royal Raisins/Kishmish - Black, With Seeds, 100 g Pouch",versatile black raisin simple use natural raisins tasty sweet delicious raisins great snack add flavour almost favourite recipe natural sugars raisins good supply energy come packaged together fibre nutrients click unique delicious recipes https www bigbasket com flavors collections 231 dry fruits berries nuts,DRY FRUITS,"bb Royal Raisins/Kishmish - Black, With Seeds, 100 g Pouch",2
272,"bb Royal Anjeer - Figs, 100 g",figs appetizingly sugary feature complex feel merges chewiness flesh softness skin crunchiness seeds click unique delicious recipes https www bigbasket com flavors collections 231 dry fruits berries nuts,DRY FRUITS,"bb Royal Anjeer - Figs, 100 g",0
273,"bb Royal Apricots/Khumani, 100 g Pouch",apricots tiny drupes resemble peaches plums contain spongy tangy flesh beneath thin outer skin middle apricot great pit inedible needs removed normally yellow orange slight hint red one side click unique delicious recipes https www bigbasket com flavors collections 231 dry fruits berries nuts,DRY FRUITS,"bb Royal Apricots/Khumani, 100 g Pouch",0
274,"bb Royal Walnut/Akhrot - Inshell, 100 g Pouch",walnuts inshell keep reasonably well least nine months harvesting keep much improved walnut kernels flesh vacuum packed seed shrunken shell enclosing edible kernel covered thin bitter tasting sheath walnuts general bitter nutty taste click unique delicious recipes https www bigbasket com flavors collections 231 dry fruits berries nuts,DRY FRUITS,"bb Royal Walnut/Akhrot - Inshell, 100 g Pouch",1
275,"bb Popular Walnut/Akhrot - Kernels, 100 g Pouch",bb popular walnut kernels akharot tukda one choicest healthiest forms nuts consume compared shell full forms economical compromise quality kernels packed hygiene ensure freshness nutrients broken whole click unique delicious recipes https www bigbasket com flavors collections 231 dry fruits berries nuts,DRY FRUITS,"bb Popular Walnut/Akhrot - Kernels, 100 g Pouch",2
276,"bb Royal Walnut/Akhrot - Kernels, 100 g Pouch",bb royal walnut kernels add crunch taste dish loaded nutritional benefits uneven texture kernels along light brown colour make delicacies bigbasket offers premium quality walnuts packed perfectly keep taste food value intact click unique delicious recipes https www bigbasket com flavors collections 231 dry fruits berries nuts,DRY FRUITS,"bb Royal Walnut/Akhrot - Kernels, 100 g Pouch",2
277,"bb Royal Mixed Dry Fruits, 100 g Pouch",mixed dry fruits considered rich suppliers nutrients real delicacies fruits present pack almonds raisins figs plain pista cashews dry fruits hygienically processed made ready consumed raw used various food items make tasty click unique delicious recipes https www bigbasket com flavors collections 231 dry fruits berries nuts,DRY FRUITS,"bb Royal Mixed Dry Fruits, 100 g Pouch",1
278,"bb Royal Abjosh/Munakka, 100 g Pouch",abjosh generally different colour natural green raisins utilised mostly cookery toppings dry fruits considerable quantities vital nutrients normal proportion first rate supply minerals enzymes vitamins simple digest clean blood digestive part persons ordinary diet always get pleasure good health click unique delicious recipes https www bigbasket com flavors collections 231 dry fruits berries nuts,DRY FRUITS,"bb Royal Abjosh/Munakka, 100 g Pouch",6
279,"bb Royal Dry Dates - Chuwara, Kharik, 100 g Pouch",dry dates one healthiest foods either taken clean consumed drying dry dates famous one natural remedy amount health related problems increasing energy levels taking care cardiovascular health date fruits contain multifaceted advantages offerclick unique delicious recipes https www bigbasket com flavors collections 231 dry fruits berries nuts,DRY FRUITS,"bb Royal Dry Dates - Chuwara, Kharik, 100 g Pouch",5
280,"bb Royal Hazelnut, 100 gm Pouch",hazelnuts encased hard brown shell soft majority generally sold shelled cream coloured kernel sweet tasting round little pointed tip thin dark brown skin faintly bitter people like take away eating click unique delicious recipes https www bigbasket com flavors collections 231 dry fruits berries nuts,DRY FRUITS,"bb Royal Hazelnut, 100 gm Pouch",0
281,"bb Popular Almond/Badam - Californian, Giri, 200 gm Pouch",american almond includes sugar almonds synthetic bitter almond oil potassium sorbate preservative 100 ordinary almonds highly healthful classified one healthiest well balanced food performs antioxidant rich potassium magnesium obtainable smooth chunky flavoured varieties contain rich yet subtle bitter sweet flavour click unique delicious recipes https www bigbasket com flavors collections 231 dry fruits berries nuts,DRY FRUITS,"bb Popular Almond/Badam - Californian, Giri, 200 gm Pouch",3
282,"bb Royal Almond/Badam - Californian, Giri, 200 g Pouch",almonds light brown skinned firm ripe seeds almond fruit wealthy yet subtle bitter sweet flavour riches nutrients particularly dietary fibre mono unsaturated fatty acids protein b complex vitamins also wealthy vitamin e minerals potassium zinc iron calcium selenium manganese click unique delicious recipes https www bigbasket com flavors collections 231 dry fruits berries nuts,DRY FRUITS,"bb Royal Almond/Badam - Californian, Giri, 200 g Pouch",0
283,"bb Royal Almond/Badam - Roasted & Salted, 200 g Pouch",bb royal house premium brand finest staples sourced right best farms production centres order get good quality competitive prices every product carefully selected experienced technically competent merchandisers cleaned packed hygienic facilities food grade plastic sold competitive prices market almonds used make oil used moisturizer well culinary ingredient used garnish common ingredient desserts popularly used make badam milk click unique delicious recipes https www bigbasket com flavors collections 231 dry fruits berries nuts,DRY FRUITS,"bb Royal Almond/Badam - Roasted & Salted, 200 g Pouch",3
284,"bb Royal Pista - Irani, Roasted & Salted, 200 g",pista salted drupe containing elongated seed edible portion tough whitish external shell nutrient dense antioxidants full fibre outstanding supply enzymes vitamins minerals simple digest clean blood digestive area nuts enriched lots health benefiting nutrients necessary optimum health click unique delicious recipes https www bigbasket com flavors collections 231 dry fruits berries nuts,DRY FRUITS,"bb Royal Pista - Irani, Roasted & Salted, 200 g",4
285,"bb Royal Pista - Plain, Kernel, 200 gm Pouch",bb royal house premium brand finest staples sourced right best farms production centres order get good quality competitive prices every product carefully selected experienced technically competent merchandisers cleaned packed hygienic facilities food grade plastic sold competitive prices market pistas pistachios pale brown coloured hard shelled fruits pistachio tree enclose soft edible pale green coloured rich nutty tasting elongated seeds click unique delicious recipes https www bigbasket com flavors collections 231 dry fruits berries nuts,DRY FRUITS,"bb Royal Pista - Plain, Kernel, 200 gm Pouch",5
286,"bb Popular Cashew/Kaju - Whole, 200 g",cashew whole healthful delicious snack also versatile important ingredient every superfood kitchen cashews offer impressive profile beneficial oils including perfect ratio healthy saturated monounsaturated polyunsaturated fats also superior supply plant based protein trace minerals iron click unique delicious recipes https www bigbasket com flavors collections 231 dry fruits berries nuts,DRY FRUITS,"bb Popular Cashew/Kaju - Whole, 200 g",4
287,"bb Royal Cashew/Kaju - Whole, 200 g",cashew nuts seeds fruit cashew tree white soft meaty hardens changes darker white roasted rich flavour making flavoursome nut rich monounsaturated fatty acid minerals iron potassium phosphorous copper zinc selenium click unique delicious recipes https www bigbasket com flavors collections 231 dry fruits berries nuts,DRY FRUITS,"bb Royal Cashew/Kaju - Whole, 200 g",1
288,"bb Popular Cashew/Kaju - Split, 200 g",cashew split wealthy flavour common ingredient desserts utilized make oils includes good amounts dietary fibre oil antioxidants cashews wealthy iron selenium phosphorus magnesium zinc also good sources protein antioxidants phytochemicals click unique delicious recipes https www bigbasket com flavors collections 231 dry fruits berries nuts,DRY FRUITS,"bb Popular Cashew/Kaju - Split, 200 g",0
289,"bb Popular Cashew/Kaju - Broken, 200 g Pouch",cashew broken 4 pc contain good amounts dietary fibre oil antioxidants wealthy monounsaturated fatty acid minerals potassium iron phosphorous zinc copper selenium creates efficient nuts thickening water based dishes meat stews soups indian milk based desserts click unique delicious recipes https www bigbasket com flavors collections 231 dry fruits berries nuts,DRY FRUITS,"bb Popular Cashew/Kaju - Broken, 200 g Pouch",1
290,"bb Royal Cashew/Kaju - Roasted & Salted, 200 gm Pouch",cashew roasted salted suitable tasty snack either snack mix strong consume moderation part balanced diet include similar diet information includes abundance dietary benefits including three carbohydrates macronutrients fat protein click unique delicious recipes https www bigbasket com flavors collections 231 dry fruits berries nuts,DRY FRUITS,"bb Royal Cashew/Kaju - Roasted & Salted, 200 gm Pouch",4
291,"bb Royal Masala Cashew/Kaju - Black Pepper, 200 g Pouch",bb royal house premium brand finest staples sourced right best farms production centres order get good quality competitive prices every product carefully selected experienced technically competent merchandisers cleaned packed hygienic facilities food grade plastic sold competitive prices market masala cashews flavoured cashews roasted coated spicy pepper masala making tasty snack click unique delicious recipes https www bigbasket com flavors collections 231 dry fruits berries nuts,DRY FRUITS,"bb Royal Masala Cashew/Kaju - Black Pepper, 200 g Pouch",3
292,"bb Royal Masala Cashew/Kaju - Red Chilli, 200 g Pouch",bb royal house premium brand finest staples sourced right best farms production centres order get good quality competitive prices every product carefully selected experienced technically competent merchandisers cleaned packed hygienic facilities food grade plastic sold competitive prices market click unique delicious recipes https www bigbasket com flavors collections 231 dry fruits berries nuts,DRY FRUITS,"bb Royal Masala Cashew/Kaju - Red Chilli, 200 g Pouch",3
293,"bb Royal Raisins/Kishmish - Indian, 200 g Pouch",indian raisins obtained drying grapes sun mechanical driers turns fresh grapes brown coloured raisins raisins come loads health benefits however rich calories sugars fine source b complex vitamins b3 b2 b1 b6 contain tiny amounts vitamin c e k dense supply minerals like calcium iron manganese potassium magnesium copper zinc fluoride boron click unique delicious recipes https www bigbasket com flavors collections 231 dry fruits berries nuts,DRY FRUITS,"bb Royal Raisins/Kishmish - Indian, 200 g Pouch",3
294,"bb Royal Raisins/Kishmish - Netal, 200 g Pouch",afghan raisins deep brown coloured wrinkle skinned dried grapes tough flesh cultivated regions afghanistan one largest raisin producers offers 10 daily required levels dietary fibre protein 100 grams also high quality supply b complex vitamins vitamin e c k click unique delicious recipes https www bigbasket com flavors collections 231 dry fruits berries nuts,DRY FRUITS,"bb Royal Raisins/Kishmish - Netal, 200 g Pouch",0
295,"bb Royal Raisins/Kishmish - Black, Seedless, 200 g Pouch",black raisin well liked variety dried grape generally identified sugary taste juicy flavour sweet delicious tasty raisins great snack add zest almost preferred recipe natural sugars raisins great supply energy come packaged together fibre nutrients click unique delicious recipes https www bigbasket com flavors collections 231 dry fruits berries nuts,DRY FRUITS,"bb Royal Raisins/Kishmish - Black, Seedless, 200 g Pouch",2
296,"bb Royal Raisins/kishmish - Black, With Seeds, 200 g Pouch",black raisin trendiest assortment dried grape extensively recognized sugary flavor juicy taste immense snack add flavor approximately favorite recipe natural sugars raisins great supply energy come packaged together fiber additional nutrients click unique delicious recipes https www bigbasket com flavors collections 231 dry fruits berries nuts,DRY FRUITS,"bb Royal Raisins/kishmish - Black, With Seeds, 200 g Pouch",2
297,"bb Royal Anjeer - Figs, 200 g",figs anjeer royal treat packed bb exclusively anjeer dried form fresh fig fruit however understanding compromise taste bring finest selection fruits figs high taste quality click unique delicious recipes https www bigbasket com flavors collections 231 dry fruits berries nuts,DRY FRUITS,"bb Royal Anjeer - Figs, 200 g",0
298,"bb Royal Apricots/Khumani, 200 g Pouch",apricots small smooth golden orange skinned soft juicy fleshed fruits possess sweet flavour mild acridity excellent source potassium iron magnesium carotenoids also contain considerable amounts dietary fibre antioxidants click unique delicious recipes https www bigbasket com flavors collections 231 dry fruits berries nuts,DRY FRUITS,"bb Royal Apricots/Khumani, 200 g Pouch",1
299,"bb Royal Walnut/Akhrot - Inshell, 200 g",walnut large light coloured nut fun crack delicious right shell click unique delicious recipes https www bigbasket com flavors collections 231 dry fruits berries nuts,DRY FRUITS,"bb Royal Walnut/Akhrot - Inshell, 200 g",0
300,"bb Popular Walnut/Akhrot - Kernels, 200 g Pouch",bb walnut kernels 100 natural safe healthy walnuts right crunch great flavor rich taste big basket always procures kernels trusted vendors checks thoroughly different quality parameters walnut kernels packed efficiently nutritional values freshness retained well click unique delicious recipes https www bigbasket com flavors collections 231 dry fruits berries nuts,DRY FRUITS,"bb Popular Walnut/Akhrot - Kernels, 200 g Pouch",5
301,"bb Royal Walnut/Akhrot - Kernels, 200 g Pouch",bb popular walnut kernels akharot tukda also available 200 gram packs makes perfect smaller families one healthiest forms nuts available advantage bother cracking shell walnut kernels actually seed drupe drupaceous nut technically real botanical nut click unique delicious recipes https www bigbasket com flavors collections 231 dry fruits berries nuts,DRY FRUITS,"bb Royal Walnut/Akhrot - Kernels, 200 g Pouch",1
302,"bb Royal Mixed Dry Fruits, 200 g Pouch",mixed dry fruits considered rich suppliers nutrients real delicacies fruits present pack almonds raisins figs plain pista cashews dry fruits hygienically processed made ready consumed raw used various food items make tasty click unique delicious recipes https www bigbasket com flavors collections 231 dry fruits berries nuts,DRY FRUITS,"bb Royal Mixed Dry Fruits, 200 g Pouch",1
303,"bb Royal Abjosh/Munakka, 200 g Pouch",abjosh dried grapes wrinkly appearance sweet much loved young old alike abjosh usually different colour usual green raisins excellent source minerals vitamins enzymes easy digest clean blood digestive area click unique delicious recipes https www bigbasket com flavors collections 231 dry fruits berries nuts,DRY FRUITS,"bb Royal Abjosh/Munakka, 200 g Pouch",3
304,"bb Royal Dry Dates - Chuwara, Kharik, 200 g Pouch",dry dates one healthful foods either taken clean consumed drying dry dates famous one natural remedy number health related problems includes single seed 2 2 5 cm long 5 7 mm thick filled calories gain adequate muscles putting much weight click unique delicious recipes https www bigbasket com flavors collections 231 dry fruits berries nuts,DRY FRUITS,"bb Royal Dry Dates - Chuwara, Kharik, 200 g Pouch",3
305,"bb Royal Hazelnuts, 200 g Pouch",bb royal house premium brand finest staples sourced right best farms produce centers order get good quality competitive prices every product carefully selected experienced technically competent merchandisers cleaned packed hygienic facilities food grade plastic sold competitive prices market click unique delicious recipes https www bigbasket com flavors collections 231 dry fruits berries nuts,DRY FRUITS,"bb Royal Hazelnuts, 200 g Pouch",3
306,"bb Royal Sunflower Seeds, 250 g Pouch",sunflower seeds healthy tasty snacks loaded nutrients rich healthy fat good overall health rich unsaturated fatty acids help lower cholesterol level bb royal house premium brand finest staples sourced right best farms production centres order get good quality competitive prices every product carefully selected experienced technically competent merchandisers cleaned packed hygienic facilities food grade plastic sold competitive prices market click unique delicious recipes https www bigbasket com flavors collections 231 dry fruits berries nuts,DRY FRUITS,"bb Royal Sunflower Seeds, 250 g Pouch",6
