,name,price,img,about,ing,category
"Fresho Malgoa Mango, 1 kg","Fresho Malgoa Mango, 1 kg",160,https://www.bigbasket.com/media/uploads/p/s/10000308-3_1-fresho-malgoa-mango.jpg,"
The Alphonso of South India- Malgoa is round and green in colour with shades of red. With a fusion flavour of spice and sweetness, the flesh is fiberless and comes with a sweet fragrance.Do not forget to check our delicious fruit recipe - https://www.bigbasket.com/cookbook/recipes/2314/mango-mint-and-limeade-slush/  Calcium Carbide is not used in the ripening process of the mangoes.
","Fresho Malgoa Mango, 1 kg",FRESH FRUITS
"Fresho Avocado, 1 kg","Fresho Avocado, 1 kg",526,https://www.bigbasket.com/media/uploads/p/s/10000312-2_20-fresho-avocado.jpg,"
            Avocados are oval shaped fruits with a thick green and a bumpy, leathery outer skin. They have a unique-texture, with a creamy and light green coloured flesh that has a buttery flavour and special aroma. Avocados are also known as an alligator pear or butter fruit. Fresho avocados delivered to you, will not just entice your taste buds but will also ensure your well being.  Do not forget to check our delicious fruit recipe - https://www.bigbasket.com/cookbook/recipes/2205/chatpate-green-noodles/ 
","Fresho Avocado, 1 kg",EXOTIC FRUITS & VEGGIES
"Fresho Celery, 1 kg","Fresho Celery, 1 kg",63,https://www.bigbasket.com/media/uploads/p/s/10000313-3_1-fresho-celery.jpg,"
            Relish juicy, crunchy and mildly salty flavoured celeries that are individually handpicked everyday by our trained farmers. Celeries have wide, green leaves attached to thick, juicy stalks joined at a common base. https://www.bigbasket.com/cookbook/recipes/239/chinese-clear-vegetable-soup/ 
","Fresho Celery, 1 kg",HERBS & SEASONINGS
"Fresho Basil - Italian, 1 kg","Fresho Basil - Italian, 1 kg",105,https://www.bigbasket.com/media/uploads/p/s/10000314-3_2-fresho-basil-italian.jpg,"
            The aroma of this bright green culinary herb is popular worldwide and used as a fresh source of flavour in the recipe.
 Do not forget to check our delicious recipe - https://www.bigbasket.com/cookbook/recipes/767/cheesy-tomato-basil-pasta/ 
","Fresho Basil - Italian, 1 kg",HERBS & SEASONINGS
"Fresho Pak Choi, 1 kg","Fresho Pak Choi, 1 kg",59,https://www.bigbasket.com/media/uploads/p/s/10000315-3_1-fresho-pak-choi.jpg,"
            Pak Choi is a chinese celery cabbage with crisp leaves and stalk. Its flavour is somewhat a mix of mild cabbage and spinach.
        ","Fresho Pak Choi, 1 kg",EXOTIC FRUITS & VEGGIES
"Fresho Baby Potato, 1 kg","Fresho Baby Potato, 1 kg",52,https://www.bigbasket.com/media/uploads/p/s/10000316-3_1-fresho-baby-potato.jpg,"
            These small baby potatoes are a sweeter variety than normal ones and come with a creamy off white interior. Baby potato is a starchy vegetable that adds thickness to recipes and blends well with other vegetables.  Do not forget to check our delicious recipe - https://www.bigbasket.com/cookbook/recipes/2133/baked-cheesy-baby-potatoes/ 
","Fresho Baby Potato, 1 kg",EXOTIC FRUITS & VEGGIES
"Fresho Lemon Grass, 1 kg","Fresho Lemon Grass, 1 kg",94,https://www.bigbasket.com/media/uploads/p/s/10000317-3_2-fresho-lemon-grass.jpg,"
            Lemon Grass is a culinary herb that comes with an excellent aroma. It is also used as a medicinal herb in India. It has a subtle citrusy flavour and can be used fresh or even dried and powdered.
Do not forget to check out our delicious recipe- https://www.bigbasket.com/cookbook/recipes/2255/lemongrass-tea/ 
","Fresho Lemon Grass, 1 kg",HERBS & SEASONINGS
"Fresho Lettuce - Green, 1 kg","Fresho Lettuce - Green, 1 kg",105,https://www.bigbasket.com/media/uploads/p/s/10000318-3_1-fresho-lettuce-green.jpg,"
            With tender, delicate and loosely packed green leaves, Lettuce gives a crunchy and fresh feel to burgers and sandwiches.
Do not forget to check out our delicious recipe- https://www.bigbasket.com/cookbook/recipes/570/caesar-salad/ 
","Fresho Lettuce - Green, 1 kg",EXOTIC FRUITS & VEGGIES
"Fresho Capsicum - Red, 1 kg","Fresho Capsicum - Red, 1 kg",168,https://www.bigbasket.com/media/uploads/p/s/10000319-4_4-fresho-capsicum-red.jpg,"
            Leaving a sweet and fruity flavour on the tastebuds, Red capsicums, also known as red bell peppers are bell shaped, medium-sized fruit pods. They have thick and shiny skin with fleshy texture on the inside. Red bell peppers are the most ripened and sweetest of all capsicums.  Do not forget to check our delicious recipe - https://www.bigbasket.com/cookbook/recipes/2347/pro-veg-platter-with-greek-yogurt-dip/ 
","Fresho Capsicum - Red, 1 kg",FRESH VEGETABLES
"Fresho Zucchini - Yellow, 1 kg","Fresho Zucchini - Yellow, 1 kg",52,https://www.bigbasket.com/media/uploads/p/s/10000320-4_1-fresho-zucchini-yellow.jpg,"
            Yellow zucchini is a long and slightly fat vegetable, also known as squash. Yellow variant has comparatively softer flesh and tastes sweeter than the green one. Do not forget to check out our delicious recipe-
https://www.bigbasket.com/cookbook/recipes/1404/healthy-stir-fry/ 
","Fresho Zucchini - Yellow, 1 kg",EXOTIC FRUITS & VEGGIES
"Fresho Baby Carrot, 1 kg","Fresho Baby Carrot, 1 kg",183,https://www.bigbasket.com/media/uploads/p/s/10000321-4_1-fresho-baby-carrot.jpg,"
            Fresho is our brand of fresh fruits and vegetables which are individually handpicked everyday by our experienced and technically competent buyers. Our buying, storing and packaging processes are tailored to ensure that only the fresh, nutrient dense, healthy and delicious produce reaches your doorstep.  We guarantee the quality of all Fresho products. If you're not satisfied with the freshness of the items, you can hand them back to our Customer Experience Executive (CEE) for a full refund. Baby carrots are carrots that aren't fully grown. They are similar to normal carrots except that they are smaller in size.  Product image shown is for representation purpose only, the actually product may vary based on season, produce & availability.
        ","Fresho Baby Carrot, 1 kg",EXOTIC FRUITS & VEGGIES
"Fresho Baby Corn - Peeled, 1 kg","Fresho Baby Corn - Peeled, 1 kg",267,https://www.bigbasket.com/media/uploads/p/s/10000322-3_1-fresho-baby-corn-peeled.jpg,"
            Baby corns are small in size and handpicked before they mature. We deliver them to you fresh and peeled, so no more postponing that corn dish you wanted to make because you didn't get the time. 
 Do not forget to check our delicious recipe - https://www.bigbasket.com/cookbook/recipes/955/baby-corn-sesame-stir-fry/ 
","Fresho Baby Corn - Peeled, 1 kg",CUTS & SPROUTS
"Fresho Fresho Capsicum - Yellow, 1 Kg","Fresho Fresho Capsicum - Yellow, 1 Kg",168,https://www.bigbasket.com/media/uploads/p/s/10000323-4_1-fresho-fresho-capsicum-yellow.jpg,"
            Leaving a mild fruity flavour on the tastebuds, Yellow capsicums, also known as Yellow bell peppers are bell shaped, medium-sized fruit pods. They have thick and shiny skin with a fleshy texture on the inside.  Do not forget to check our delicious recipe - https://www.bigbasket.com/cookbook/recipes/1404/healthy-stir-fry/ 
","Fresho Fresho Capsicum - Yellow, 1 Kg",FRESH VEGETABLES
